GenBank accession	TaxID	Organism	Description	Length	Phylum	Class	Order	Family	Genus	Genetic code	GC%	Percentage genome with GC50
NC_003052.1	109760	Spizellomyces punctatus	Spizellomyces punctatus mitochondrion chromosome 1, complete sequence	58830	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	16	31.7908	0.255102
NC_018046.1	5476	Candida albicans	Candida albicans strain L757 mitochondrion, complete genome	33928	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	31.7434	0
MH746465.1	39966	Hypsizygus marmoreus	UNVERIFIED: Hypsizygus marmoreus mitochondrion sequence	106417	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Hypsizygus	4	31.7395	4.65444
MF774813.1	5353	Lentinula edodes	Lentinula edodes strain YAASM363 mitochondrion, complete genome	115116	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	4	31.7384	9.90874
NC_039439.1	117018	Asterophora parasitica	Asterophora parasitica strain AP01 mitochondrion, complete genome	43328	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Asterophora	4	31.706	12.1528
NC_026993.1	5516	Fusarium culmorum	Fusarium culmorum strain CBS 139512 mitochondrion, complete genome	103844	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.6734	0.722543
CP033157.1	425264	Malassezia restricta CBS 7877	Malassezia restricta CBS 7877 mitochondrion, complete genome	33603	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	31.5208	0
LT906357.1	660031	Fusarium oxysporum PHW808	TPA_asm: Fusarium oxysporum PHW808 strain NRRL54008 complete mitochondrion genome	50023	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.4855	0.3003
NC_022681.1	48490	Fusarium circinatum	Fusarium circinatum mitochondrion, complete genome	67109	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.4437	0.447427
NC_022153.1	434039	Candida buenavistaensis	Candida buenavistaensis strain NRRL Y-27734 mitochondrion, complete genome	46389	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	31.4412	3.8835
NC_015893.1	759272	Chaetomium thermophilum var. thermophilum DSM 1495	Chaetomium thermophilum var. thermophilum DSM 1495 mitochondrion, complete genome	127206	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	4	31.4355	2.83019
LT906337.1	120297	Fusarium oxysporum f. sp. niveum	TPA_asm: Fusarium oxysporum f. sp. niveum strain Fon013 complete mitochondrion genome	50795	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.4103	0
NC_039455.1	76775	Malassezia restricta	Malassezia restricta mitochondrion, complete genome	38720	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	31.4083	0
NC_039655.1	168172	Puccinia striiformis f. sp. tritici	Puccinia striiformis f. sp. tritici isolate CYR32 mitochondrion, complete genome	101521	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	4	31.3935	1.77515
MG783568.1	2136985	Termitomyces sp. T132	Termitomyces sp. T132 mitochondrion, complete genome	146712	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Termitomyces	4	31.347	0.920245
MK163638.1	38448	Monilinia fructicola	UNVERIFIED: Monilinia fructicola mitochondrion sequence	163790	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Monilinia	4	31.2942	0.183318
KY911092.1	77020	Malassezia pachydermatis	Malassezia pachydermatis culture CBS:1879 mitochondrion, complete genome	35527	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	31.274	0
NC_029194.1	192010	Fusarium mangiferae	Fusarium mangiferae mitochondrion, complete genome	30629	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.2549	0.490196
NC_008368.1	5270	Ustilago maydis	Ustilago maydis mitochondrion, complete genome	56814	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	4	31.2275	0
NC_020148.1	5308	Phlebia radiata	Phlebia radiata strain 79 mitochondrion, complete genome	156348	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phlebia	4	31.1811	1.15163
KY911094.1	76775	Malassezia restricta	Malassezia restricta culture CBS:8742 mitochondrion, complete genome	40172	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	31.181	0
NC_042184.1	1518593	Lecanora cinereofusca	Lecanora cinereofusca voucher 45937 mitochondrion, complete genome	32357	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora	4	31.1349	0
KY911093.1	76775	Malassezia restricta	Malassezia restricta culture CBS:7877 mitochondrion, complete genome	38499	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	31.1276	0
LT906328.1	61369	Fusarium oxysporum f. sp. melonis	TPA_asm: Fusarium oxysporum f. sp. melonis strain Fom009 complete mitochondrion genome	38736	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.0749	0
AP019006.1	68746	Stropharia rugosoannulata	Stropharia rugosoannulata NBRC31871 mitochondrial DNA, complete sequence	60551	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	4	31.0604	0.248139
AY874423.1	5507	Fusarium oxysporum	Fusarium oxysporum voucher VPRI 19292 mitochondrion, partial genome	33396	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.027	0
MH743217.1	1916073	Termitomyces sp.	UNVERIFIED: Termitomyces sp. strain DKA19 mitochondrion sequence	105724	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Termitomyces	4	31.0142	1.98864
NC_017930.1	5507	Fusarium oxysporum	Fusarium oxysporum mitochondrion, complete genome	34477	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	31.0073	0
FQ311469.1	999809	Sporisorium reilianum SRZ2	Sporisorium reilianum SRZ2 mitochondrial DNA sequence	90496	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium	4	30.9718	0.165837
NC_024944.1	35722	Parasitella parasitica	Parasitella parasitica strain CBS 412.66 mitochondrion, complete genome	83361	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Parasitella	4	30.9345	2.7027
NC_039163.1	136281	Pseudevernia consocians	Pseudevernia consocians voucher 48566 mitochondrion, complete genome	76322	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Pseudevernia	4	30.9081	0.19685
NC_035155.1	665079	Sclerotinia sclerotiorum 1980 UF-70	Sclerotinia sclerotiorum 1980 UF-70 mitochondrion, complete genome	128852	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	4	30.9049	0
NC_023540.1	290576	Colletotrichum lindemuthianum	Colletotrichum lindemuthianum mitochondrion, complete genome	36957	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	30.8889	0
MF595868.1	290576	Colletotrichum lindemuthianum	Colletotrichum lindemuthianum isolate 83.501 mitochondrion, complete genome	37440	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	30.8514	0.401606
NC_035825.1	543791	Opegrapha vulgata	Opegrapha vulgata voucher 45910 mitochondrion, complete genome	38937	Ascomycota	Arthoniomycetes	Arthoniales	Opegraphaceae	Opegrapha	4	30.7671	0.3861
MG642023.1	2094712	Parmotrema diffractaicum	Parmotrema diffractaicum mitochondrion, partial genome	89358	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Parmotrema	4	30.7585	1.0084
KY217797.1	5353	Lentinula edodes	UNVERIFIED: Lentinula edodes mitochondrion sequence	116819	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	4	30.7275	8.48329
NC_018365.1	5353	Lentinula edodes	Lentinula edodes mitochondrion, complete genome	121394	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	4	30.6856	8.03461
NC_035730.1	315943	Hypogymnia vittata	Hypogymnia vittata mitochondrion, complete genome	38888	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypogymnia	4	30.6744	0
NC_027280.1	27357	Colletotrichum acutatum	Colletotrichum acutatum strain KC05 mitochondrion, complete genome	30892	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	30.5626	0
AP017980.1	1450759	Taphrina flavorubra JCM 22207	Taphrina flavorubra JCM 22207 mitochondrial DNA, nearly complete sequence	53165	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	4	30.5386	0.282486
NC_029706.1	1209934	Colletotrichum tamarilloi	Colletotrichum tamarilloi mitochondrion, complete genome	30824	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	30.5138	0
MK618084.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT13 mitochondrion, complete genome	20821	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	30.5073	0
NC_040007.1	2486653	Parmotrema ultralucens	Parmotrema ultralucens voucher 6176 mitochondrion, complete genome	79456	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Parmotrema	4	30.5003	0.94518
NC_035550.1	172621	Imshaugia aleurites	Imshaugia aleurites voucher 46246 mitochondrion, complete genome	32029	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Imshaugia	4	30.457	0
NC_035496.1	1209931	Colletotrichum salicis	Colletotrichum salicis mitochondrion, complete genome	33950	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	30.4425	0
NC_040930.1	866546	Schizosaccharomyces cryophilus	Schizosaccharomyces cryophilus strain OY26 mitochondrion, complete genome	32669	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	30.3902	0
NC_044483.1	86788	Ramalina intermedia	Ramalina intermedia voucher 44717 mitochondrion, complete genome	30678	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Ramalina	4	30.3399	0
KY362439.1	2041279	Parmotrema stuppeum	Parmotrema stuppeum voucher NY:Lendemer 46478 mitochondrion, complete genome	108024	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Parmotrema	4	30.3093	0.138889
KP742837.1	767483	Fusarium temperatum	Fusarium temperatum mitochondrion, partial genome	44579	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	4	30.3075	0.673401
MH308711.1	2563723	Arthonia kermesina	UNVERIFIED: Arthonia kermesina mitochondrion sequence	28069	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Arthonia	4	30.2995	0.534759
NC_030522.1	354353	Chrysoporthe austroafricana	Chrysoporthe austroafricana mitochondrion, complete genome	190834	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysoporthe	4	30.2704	0.157233
MH367296.1	42368	Hirsutella thompsonii	Hirsutella thompsonii strain ARSEF 1947 mitochondrion, complete genome	65332	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	4	30.2667	0.229885
NC_034786.1	1089818	Bryoria tenuis	Bryoria tenuis voucher 46176 mitochondrion, complete genome	84295	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Bryoria	4	30.2163	0.356506
FO082257.1	5111	Claviceps purpurea	Claviceps purpurea mitochondrial DNA sequence	55537	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	4	30.2162	0
NC_034659.1	72228	Ophiocordyceps sinensis	Ophiocordyceps sinensis mitochondrion, complete genome	157539	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	4	30.2083	0.47619
MH400233.1	72228	Ophiocordyceps sinensis	UNVERIFIED: Ophiocordyceps sinensis mitochondrion sequence	157584	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	4	30.1981	0.380952
NC_001326.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe mitochondrion, complete genome	19431	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	30.1602	0
MH620790.1	326628	Annulohypoxylon stygium	Annulohypoxylon stygium isolate A mitochondrion, complete genome	145449	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	4	30.1514	0.928793
MK618134.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT63 mitochondrion, complete genome	26910	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	30.1453	0
MK618072.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT1 mitochondrion, complete genome	19433	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	30.1395	0
NC_036417.1	74410	Bipolaris cookei	Bipolaris cookei strain LSLP18 mitochondrion, complete genome	135790	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	4	30.1355	0.441989
MK618087.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT16 mitochondrion, complete genome	23265	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	30.0731	0
NC_001329.3	2587412	Podospora anserina	Podospora anserina mitochondrion, complete genome	100314	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Podospora	4	30.0719	0.748503
NC_030052.1	710243	Colletotrichum fioriniae	Colletotrichum fioriniae mitochondrion, complete genome	30020	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	30.0467	0
KY348846.1	1225178	Lepraria oxybapha	UNVERIFIED: Lepraria oxybapha mitochondrion sequence	40221	Ascomycota	Lecanoromycetes	Lecanorales	Stereocaulaceae	Lepraria	4	30.0348	0
MH620793.1	326628	Annulohypoxylon stygium	Annulohypoxylon stygium isolate D mitochondrion, complete genome	140328	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	4	30.0036	0.534759
MH367295.1	42368	Hirsutella thompsonii	Hirsutella thompsonii strain ARSEF 137 mitochondrion, complete genome	60362	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	4	30.0017	0.248756
NC_030523.1	764597	Chrysoporthe deuterocubensis	Chrysoporthe deuterocubensis mitochondrion, complete genome	124412	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysoporthe	4	29.9871	0
MK618078.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT7 mitochondrion, complete genome	24346	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	29.9753	0
NC_029213.1	145971	Colletotrichum lupini	Colletotrichum lupini strain CBS 119142 culture-collection CBS:119142 mitochondrion, complete genome	36554	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	29.9259	0
MK618137.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT66 mitochondrion, complete genome	17651	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	29.9088	0
KC832409.1	332648	Botrytis cinerea B05.10	Botryotinia fuckeliana B05.10 mitochondrion, complete genome	82212	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	4	29.899	0.182482
NC_042879.1	117820	Spizellomyces sp. &apos;palustris&apos;	Spizellomyces palustris culture CBS:455.65 strain CBS 455.65 mitochondrion, complete genome	126474	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	16	29.8861	0
NW_007361658.1	645133	Colletotrichum graminicola M1.001	Colletotrichum graminicola M1.001 mitochondrion, whole genome shotgun sequence	39649	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4	29.8788	0
NC_040227.1	48703	Podospora comata	Podospora comata strain T genome assembly, organelle: mitochondrion	82766	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Podospora	4	29.8717	0.544465
NC_023117.1	326628	Annulohypoxylon stygium	Annulohypoxylon stygium mitochondrion, complete genome	133782	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	4	29.8451	0.3367
NC_013660.2	4754	Pneumocystis carinii	Pneumocystis carinii mitochondrion, complete genome	26119	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	29.8238	0
MK618131.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT60 mitochondrion, complete genome	20042	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	29.8195	0
NC_035826.1	209564	Ricasolia amplissima	Ricasolia amplissima voucher CONN:Goffinet 44719 mitochondrion, complete genome	82333	Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Ricasolia	4	29.8187	1.09489
MH308710.1	2563722	Arthonia cupressina	UNVERIFIED: Arthonia cupressina mitochondrion sequence	32492	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Arthonia	4	29.8148	0
NC_040165.1	42368	Hirsutella thompsonii	Hirsutella thompsonii strain ARSEF 9457 mitochondrion, complete genome	62509	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	4	29.8077	0.480769
MK618108.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT37 mitochondrion, complete genome	17618	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	29.7949	0
MH620791.1	326628	Annulohypoxylon stygium	Annulohypoxylon stygium isolate B mitochondrion, complete genome	131996	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	4	29.7945	0.455063
NC_020332.1	263815	Pneumocystis murina	Pneumocystis murina mitochondrion, complete genome	24608	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	29.7846	0
MK618109.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT38 mitochondrion, complete genome	20066	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	29.7694	0
NC_031375.1	101852	Glarea lozoyensis	Glarea lozoyensis strain ATCC 20868 culture-collection ATCC:20868 mitochondrion, complete genome	45501	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	4	29.7668	0
MH620792.1	326628	Annulohypoxylon stygium	Annulohypoxylon stygium isolate C mitochondrion, complete genome	147325	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	4	29.7583	0.407332
MK618088.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT17 mitochondrion, complete genome	20066	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	29.7444	0
KF169905.1	1104152	Glarea lozoyensis 74030	Glarea lozoyensis 74030 mitochondrion, complete genome	45038	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	4	29.74	0
NC_030524.1	305400	Chrysoporthe cubensis	Chrysoporthe cubensis mitochondrion, complete genome	89084	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysoporthe	4	29.7246	0.168634
MK618113.1	4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe isolate MT42 mitochondrion, complete genome	22560	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	29.6978	0
NC_039132.1	184108	Cladonia peziziformis	Cladonia peziziformis voucher NYBG:6281 mitochondrion, complete genome	45312	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	4	29.6755	0.993377
NC_036039.1	183478	Stemphylium lycopersici	Stemphylium lycopersici strain CIDEFI-216 mitochondrion, complete genome	75911	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	4	29.6495	0.395257
KY801668.1	55169	Botryosphaeria dothidea	UNVERIFIED: Botryosphaeria dothidea mitochondrion sequence	109776	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	4	29.6243	0.547196
AP017979.1	1450758	Taphrina deformans JCM 22205	Taphrina deformans JCM 22205 mitochondrial DNA, nearly complete sequence	56056	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	4	29.58	0.268097
NC_036309.1	111670	Cladonia rangiferina	Cladonia rangiferina voucher NY:Lendemer 46392 mitochondrion, complete genome	59116	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	4	29.5618	0.507614
NC_029396.1	749589	Didymella pinodes	Didymella pinodes strain 165/T mitochondrion, complete genome	55973	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	4	29.5425	0
MH010439.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate DK07_25kb mitochondrion, complete genome	24717	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	29.5366	0
MG593783.1	55169	Botryosphaeria dothidea	UNVERIFIED: Botryosphaeria dothidea isolate PGZH20 mitochondrion sequence	105788	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	4	29.513	0.567376
NC_039722.1	195789	Cladonia subtenuis	Cladonia subtenuis voucher NYBG:Lendemer 49895 mitochondrion, complete genome	59878	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	4	29.5054	0.250627
NC_035824.1	1257147	Graphis lineola	Graphis lineola voucher 46096 mitochondrion, complete genome	24945	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Graphis	4	29.4498	0
NC_009746.1	321614	Parastagonospora nodorum SN15	Phaeosphaeria nodorum SN15 mitochondrion, complete genome	49761	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	4	29.424	0
NC_023126.1	914237	Rhynchosporium commune	Rhynchosporium commune mitochondrion, complete genome	69581	Ascomycota	Leotiomycetes	Helotiales	Rhynchosporium		4	29.3952	0
MH010442.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate IT918_25kb mitochondrion, complete genome	24875	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	29.3899	0
MH010437.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate Ar_25kb mitochondrion, complete genome	24903	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	29.3695	0
NC_007780.1	29833	Hanseniaspora uvarum	Hanseniaspora uvarum mitochondrion, complete genome	18844	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	3	29.36	0
NC_035508.1	335852	Arthrinium arundinis	Arthrinium arundinis mitochondrion, complete genome	48975	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium	4	29.3599	0
NC_023125.1	914238	Rhynchosporium agropyri	Rhynchosporium agropyri mitochondrion, complete genome	68904	Ascomycota	Leotiomycetes	Helotiales	Rhynchosporium		4	29.3595	0
MH308713.1	2080612	Arthothelium ruanum	UNVERIFIED: Arthothelium ruanum mitochondrion sequence	27342	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Arthothelium	4	29.3443	0
NC_015991.1	698441	Marssonina brunnea f. sp. &apos;multigermtubi&apos;	Marssonina brunnea f. sp. &apos;multigermtubi&apos; mitochondrion, complete genome	70379	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Marssonina	4	29.3319	0
NC_023128.1	38038	Rhynchosporium secalis	Rhynchosporium secalis mitochondrion, complete genome	68729	Ascomycota	Leotiomycetes	Helotiales	Rhynchosporium		4	29.3304	0
NC_039663.1	195777	Cladonia petrophila	Cladonia petrophila voucher NYBG:Lendemer 49138 mitochondrion, complete genome	53100	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	4	29.3296	0.849858
AP017981.1	1450757	Taphrina wiesneri JCM 22204	Taphrina wiesneri JCM 22204 mitochondrial DNA, complete sequence	55946	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	4	29.2939	0.268817
MH010443.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate S567_25kb mitochondrion, complete genome	25044	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	29.2932	0
NC_039372.1	195755	Cladonia apodocarpa	Cladonia apodocarpa voucher NYBG:Lendemer 48789 mitochondrion, complete genome	50682	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	4	29.2779	1.18694
NC_042769.1	1929756	Desarmillaria tabescens	Desarmillaria tabescens isolate A014 mitochondrion, complete genome	93439	Basidiomycota	Agaricomycetes	Agaricales	Desarmillaria		4	29.2776	1.1254
KY986975.1	112171	Curvularia trifolii	UNVERIFIED: Curvularia trifolii mitochondrion sequence	59100	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	4	29.274	0.254453
NC_042230.1	47425	Armillaria borealis	Armillaria borealis mitochondrion, complete genome	116433	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	4	29.2672	0.515464
MK333197.1	71600	Graphis scripta	Graphis scripta mitochondrion, partial genome	25995	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Graphis	4	29.2447	0
NC_030051.1	1518595	Lecanora strobilina	Lecanora strobilina mitochondrion, complete genome	39842	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora	4	29.2403	0
KY911085.1	55194	Malassezia furfur	Malassezia furfur culture CBS:7982 mitochondrion, complete genome	47903	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	29.2393	0.31348
KY801667.1	2021124	Botryosphaeria kuwatsukai	UNVERIFIED: Botryosphaeria kuwatsukai mitochondrion sequence	118034	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	4	29.2341	0.890585
MH878687.1	47427	Armillaria gallica	Armillaria gallica mitochondrion, partial genome	98896	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	4	29.2089	0.30349
MH551223.1	1580851	Endoconidiophora resinifera	Endoconidiophora resinifera strain WIN(M)79 mitochondrion, partial genome	215106	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Endoconidiophora	4	29.1994	1.60391
KY911084.1	55194	Malassezia furfur	Malassezia furfur culture CBS:7710 mitochondrion, complete genome	47901	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	4	29.1912	0
NC_042231.1	1076256	Armillaria solidipes	Armillaria solidipes mitochondrion, complete genome	122167	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	4	29.1859	0.614251
MF669499.1	5599	Alternaria alternata	UNVERIFIED: Alternaria alternata mitochondrion sequence	50107	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	4	29.1816	0.598802
MG851822.1	696364	Cladonia stipitata	UNVERIFIED: Cladonia stipitata mitochondrion sequence	60062	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	4	29.1417	0.75
